customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,historical_value,projected_future_value,CLV,cost_discount,cost_outreach,tenure_bucket,service_count,high_friction_payment,price_per_service
9763-GRSKD,Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,587.45,719.2800000000001,1306.73,29.97000000000001,15.0,1-2yr,1,0,24.975
7469-LKBCI,Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,No,326.8,454.8,781.5999999999999,11.37,15.0,1-2yr,0,0,18.95
8091-TTVAX,Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,5681.1,2408.4,8089.5,60.21,15.0,4yr+,3,0,25.0875
0280-XJGEX,Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,5036.3,1493.28,6529.58,62.220000000000006,15.0,4yr+,4,0,20.740000000000002
5129-JLPIS,Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,2686.05,1519.2,4205.25,63.3,15.0,2-4yr,5,1,17.583333333333332
3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,7895.15,2718.0,10613.15,67.95,15.0,4yr+,6,0,16.178571428571427
8191-XWSZG,Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,No,1022.95,495.6,1518.55,12.39,15.0,4yr+,0,0,20.65
9959-WOFKT,Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,7382.25,2560.8,9943.05,64.02000000000001,15.0,4yr+,4,0,21.34
4190-MFLUW,Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,528.35,794.8800000000001,1323.23,33.120000000000005,15.0,6-12mo,2,0,18.400000000000002
4183-MYFRB,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,1862.9,1296.7199999999998,3159.62,54.03,15.0,1-2yr,3,1,22.5125
8779-QRDMV,Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,39.65,570.9599999999999,610.6099999999999,23.79,15.0,0-6mo,2,1,13.216666666666667
1680-VDCWW,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,No,202.25,475.2000000000001,677.45,11.88,15.0,1-2yr,0,0,19.8
1066-JKSGK,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,20.15,290.16,310.30999999999995,12.09,15.0,0-6mo,0,0,20.15
3638-WEABW,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No,3505.1,1437.6,4942.7,35.94,15.0,4yr+,2,0,19.966666666666665
6322-HRPFA,Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,2970.3,858.24,3828.54,35.760000000000005,15.0,4yr+,3,0,14.9
6865-JZNKO,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,1530.6,796.3199999999998,2326.92,33.18,15.0,2-4yr,2,0,18.433333333333334
6467-CHFZW,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,4749.15,1430.6399999999996,6179.789999999999,59.61,15.0,2-4yr,3,1,24.8375
8665-UTDHZ,Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,30.2,434.88,465.0799999999999,18.12,15.0,0-6mo,1,1,15.1
5248-YGIJN,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,6369.45,2166.0,8535.45,54.150000000000006,15.0,4yr+,6,0,12.892857142857142
8773-HHUOZ,Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,1093.1,931.68,2024.78,38.82000000000001,15.0,1-2yr,2,0,21.566666666666666
3841-NFECX,Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,6766.95,2312.4,9079.35,57.81,15.0,4yr+,4,0,19.27
4929-XIHVW,Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,181.65,1375.2,1556.85,57.3,15.0,0-6mo,3,0,23.875
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,No,1874.45,1587.6,3462.05,39.690000000000005,15.0,2-4yr,4,0,13.23
7310-EGVHZ,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,20.2,290.87999999999994,311.0799999999999,12.12,15.0,0-6mo,0,0,20.2
3413-BMNZE,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,45.25,651.6,696.85,27.15,15.0,0-6mo,0,0,45.25
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,No,7251.7,2397.6000000000004,9649.3,59.94000000000001,15.0,4yr+,4,0,19.98
6047-YHPVI,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,316.9,1003.68,1320.58,41.82000000000001,15.0,0-6mo,0,1,69.7
6572-ADKRS,Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,3548.3,1077.12,4625.42,44.88,15.0,2-4yr,1,0,37.4
5380-WJKOV,Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,3549.25,1531.4399999999998,5080.69,63.81,15.0,2-4yr,4,1,21.27
8168-UQWWF,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,1105.4,1409.0399999999995,2514.44,58.71,15.0,6-12mo,3,0,24.4625
8865-TNMNX,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,No,475.7,1189.1999999999998,1664.9,29.73,15.0,6-12mo,1,0,24.775
9489-DEDVP,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,No,4872.35,1660.8000000000002,6533.150000000001,41.52,15.0,4yr+,3,0,17.3
9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,No,418.25,498.0,916.25,12.45,15.0,1-2yr,0,0,20.75
4671-VJLCL,Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No,4861.45,1916.4,6777.849999999999,47.91,15.0,4yr+,5,0,13.308333333333332
4080-IIARD,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,No,981.45,1097.28,2078.73,45.720000000000006,15.0,1-2yr,4,1,15.24
3714-NTNFO,Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,3906.7,1216.8,5123.5,50.7,15.0,4yr+,1,1,42.25
5948-UJZLF,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,No,97.0,709.1999999999999,806.1999999999999,29.550000000000004,15.0,0-6mo,1,0,24.625
7760-OYPDY,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,144.15,1161.36,1305.5100000000002,48.39000000000001,15.0,0-6mo,1,1,40.325
7639-LIAYI,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No,4217.8,1914.0,6131.8,47.85,15.0,4yr+,4,0,15.95
2954-PIBKO,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,No,4254.1,1539.6,5793.700000000001,38.49000000000001,15.0,4yr+,3,0,16.0375
8012-SOUDQ,Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,No,3838.75,1299.6,5138.35,54.150000000000006,15.0,2-4yr,2,1,30.083333333333332
9420-LOJKX,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,1426.4,1427.0399999999995,2853.44,59.46,15.0,1-2yr,4,0,19.82
6575-SUVOI,Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,1752.65,1000.8,2753.45,41.7,15.0,2-4yr,3,0,17.375
7495-OOKFY,Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,633.3,1161.36,1794.66,48.39000000000001,15.0,6-12mo,1,0,40.325
4667-QONEA,Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No,4456.35,1796.4,6252.75,44.91,15.0,4yr+,5,0,12.475
1658-BYGOY,Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,1752.55,1374.48,3127.03,57.27,15.0,1-2yr,2,1,31.816666666666666
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No,6311.2,2391.6000000000004,8702.8,59.790000000000006,15.0,4yr+,3,0,24.9125
5067-XJQFU,Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,No,7076.35,2602.8,9679.15,65.07000000000001,15.0,4yr+,5,1,18.075
3957-SQXML,Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,No,894.3,598.8,1493.1,14.97,15.0,2-4yr,0,0,24.95
5954-BDFSG,Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No,7853.7,2580.0,10433.7,64.5,15.0,4yr+,4,0,21.5
0434-CSFON,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No,4707.1,1447.2,6154.3,60.3,15.0,2-4yr,3,1,25.125
1215-FIGMP,Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,5450.7,1294.5600000000002,6745.26,53.94,15.0,4yr+,2,0,29.96666666666667
0526-SXDJP,Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,No,2962.0,1010.4,3972.4,25.26,15.0,4yr+,3,0,10.525
0557-ASKVU,Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,No,957.1,1305.6,2262.7,32.64,15.0,1-2yr,2,0,18.133333333333333
5698-BQJOH,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,857.25,1359.36,2216.61,56.64000000000001,15.0,6-12mo,2,1,31.46666666666667
5122-CYFXA,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No,244.1,1084.32,1328.4199999999998,45.18,15.0,0-6mo,4,1,15.059999999999999
8627-ZYGSZ,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,No,3650.35,1893.6,5543.95,47.34,15.0,2-4yr,1,1,39.45
3410-YOQBQ,Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,No,2497.2,1900.8,4398.0,47.52,15.0,2-4yr,5,0,13.200000000000001
3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,No,930.9,483.6,1414.5,12.09,15.0,4yr+,0,0,20.15
7410-OIEDU,Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,No,887.35,1149.84,2037.19,47.91,15.0,6-12mo,2,0,26.616666666666664
2273-QCKXA,Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,No,49.05,706.3199999999998,755.3699999999998,29.43,15.0,0-6mo,1,0,24.525
0731-EBJQB,Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,No,1090.65,489.6,1580.25,12.24,15.0,4yr+,0,1,20.4
1891-QRQSA,Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,No,7099.0,2678.4,9777.4,66.96000000000001,15.0,4yr+,5,0,18.599999999999998
8028-PNXHQ,Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,1424.6,582.0,2006.6,14.55,15.0,4yr+,0,0,24.25
5630-AHZIL,Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,177.4,928.8,1106.2,38.7,15.0,0-6mo,3,0,16.125
2673-CXQEU,Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,No,6139.5,2652.0,8791.5,66.30000000000001,15.0,4yr+,5,1,18.416666666666668
6416-JNVRK,Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,No,2688.85,1335.6,4024.45,33.39,15.0,2-4yr,1,0,27.825
5590-ZSKRV,Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,No,482.25,786.9599999999999,1269.21,32.79,15.0,6-12mo,2,0,18.216666666666665
0191-ZHSKZ,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,No,2111.3,1076.4,3187.7,44.85,15.0,2-4yr,4,1,14.95
3887-PBQAO,Female,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,No,1216.6,621.5999999999999,1838.2,15.54,15.0,2-4yr,0,0,25.9
5919-TMRGD,Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,79.35,1142.64,1221.9899999999998,47.61,15.0,0-6mo,1,1,39.675
8108-UXRQN,Female,0,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,No,565.35,727.9199999999998,1293.27,30.33,15.0,6-12mo,3,1,12.6375
9191-MYQKX,Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,496.9,1082.16,1579.06,45.09,15.0,6-12mo,1,0,37.575
9919-YLNNG,Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,4327.5,1494.7199999999998,5822.219999999999,62.28,15.0,2-4yr,5,0,17.3
0318-ZOPWS,Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,973.35,483.6,1456.95,12.09,15.0,4yr+,0,0,20.15
4445-ZJNMU,Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No,918.75,1429.9199999999998,2348.67,59.58,15.0,6-12mo,3,0,24.825
4808-YNLEU,Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,No,2215.45,1491.6,3707.05,37.29,15.0,2-4yr,2,0,20.716666666666665
1862-QRWPE,Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,No,1057.0,495.6,1552.6,12.39,15.0,4yr+,0,0,20.65
2796-NNUFI,Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,No,927.1,478.8,1405.9,11.97,15.0,2-4yr,0,0,19.95
3016-KSVCP,Male,0,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,No,1009.25,486.0,1495.25,20.25,15.0,2-4yr,1,0,16.875
4767-HZZHQ,Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No,2570.2,1181.5199999999998,3751.7199999999993,49.23,15.0,2-4yr,2,0,27.349999999999998
2424-WVHPL,Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,No,74.7,1075.68,1150.38,44.82000000000001,15.0,0-6mo,1,1,37.35
7233-PAHHL,Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,No,5714.25,2016.0,7730.25,50.400000000000006,15.0,4yr+,5,0,14.0
6067-NGCEU,Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,No,7107.0,1599.12,8706.119999999999,66.63,15.0,4yr+,5,0,18.508333333333333
9848-JQJTX,Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No,7459.05,2421.6000000000004,9880.65,60.540000000000006,15.0,4yr+,4,0,20.18
8637-XJIVR,Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,927.35,1136.88,2064.23,47.370000000000005,15.0,1-2yr,1,1,39.475
9803-FTJCG,Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,No,4748.7,1604.4,6353.099999999999,40.11,15.0,4yr+,3,0,16.7125
0278-YXOOG,Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,Yes,113.85,303.12,416.97,12.63,15.0,0-6mo,0,0,21.05
3212-KXOCR,Male,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,1107.2,No,1107.2,504.0,1611.2,12.6,15.0,4yr+,0,0,21.0
4598-XLKNJ,Female,1,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes,2514.5,1418.4,3932.9,59.10000000000001,15.0,2-4yr,4,1,19.7
6380-ARCEH,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,No,20.2,290.87999999999994,311.0799999999999,12.12,15.0,0-6mo,0,0,20.2
3679-XASPY,Female,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,19.45,No,19.45,280.08,299.53,11.67,15.0,0-6mo,0,1,19.45
7123-WQUHX,Male,0,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,3605.6,No,3605.6,2280.0,5885.6,57.0,15.0,2-4yr,3,0,23.75
5386-THSLQ,Female,1,Yes,No,66,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.55,3027.25,No,3027.25,1093.1999999999998,4120.45,27.33,15.0,4yr+,3,0,11.3875
3192-NQECA,Male,0,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Yes,7611.85,2640.0,10251.85,66.0,15.0,4yr+,5,0,18.333333333333332
6180-YBIQI,Male,0,No,No,5,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.3,100.2,No,100.2,349.92,450.12,14.580000000000002,15.0,0-6mo,0,0,24.3
6728-DKUCO,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.15,7303.05,No,7303.05,2499.6000000000004,9802.65,62.49000000000001,15.0,4yr+,4,1,20.830000000000002
9750-BOOHV,Female,0,No,No,32,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,30.15,927.65,No,927.65,723.5999999999999,1651.25,18.09,15.0,2-4yr,1,0,15.075
8597-CWYHH,Male,0,No,No,43,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,94.35,3921.3,No,3921.3,2264.4,6185.7,56.61,15.0,2-4yr,2,0,31.45
2848-YXSMW,Male,0,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.4,1363.25,No,1363.25,465.6,1828.85,11.64,15.0,4yr+,0,0,19.4
0486-HECZI,Male,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,Yes,5238.9,1393.2,6632.099999999999,58.05,15.0,4yr+,3,1,24.1875
4549-ZDQYY,Female,0,No,No,52,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),57.95,3042.25,No,3042.25,1390.8000000000002,4433.05,34.77,15.0,4yr+,3,0,14.4875
